Samples,treeposition
P3G6GPDABC31,1
PB11197-BLASC-BCELLP2F4,2
PB11197-BLASC-BCELLP2D4,3
PB11197-BLASC-BCELLP2C4,4
PB11197-BLASC-BCELLP2B4,5
PB11197-BLASC-BCELLP2E4,6
P3G6GPDABC28,7
PB11197-BLASC-BCELLP1P3,8
PB11197-BLASC-BCELLP1C4,9
PB11197-BLASC-BCELLP1L3,10
PB11197-BLASC-BCELLP1J3,11
PB11197-BLASC-BCELLP1K4,12
PB11197-BLASC-BCELLP1O3,13
PB11197-BLASC-BCELLP1I4,14
PB11197-BLASC-BCELLP1B4,15
P3G6GPDABC26,16
