"","A","B","C","D","E","F","G","H","I","J","K","L","M","N","O","R","S","T","U","V","W","X","Y","a","b","c","d","e","f","g","h","i","j","k","l","o","p","q","r","s","t","u","v","w","x","z","A2","B2","C2","D2"
"SBS1",45.2754040144255,19.0976917577466,32.9499048923658,0,0,15.6797693044665,32.0065873433503,18.713701698167,34.8493494238191,0,0,21.3245433736122,0,1.57976376131987,33.2536032530571,37.0424405039503,1.57150153816442,0,8.20961910621642,0,15.1868390618667,0,48.6743852437468,0,0,23.7395611162033,0,33.1181725159254,3.28482119217998,29.242293850816,33.4860247442825,2.7481654165757,20.9328205355187,34.6166119073768,31.1620828222182,122.832982318648,28.9506050153202,12.7782847764408,7.48572286581939,0,37.4093393110286,15.7012261501308,0,0,0,1.57150153816442,41.8815753916178,0,41.8344451472692,0
"SBS7a",0,0,36.8221708192609,0,0,21.2615349886463,0,26.2474111282043,39.9144598721518,0,0,0,0,0,44.8139593725889,36.1464318077372,0,0,0,0,0,0,0,1.11067921587365,0,0,0,0,0,0,0,0,0,0,0,48.1783943965142,0,0,0,0,30.9000390921375,20.1527287250868,0,49.7837686336511,0,0,31.37208207823,0,52.1483654816476,0
"SBS9",68.8616940788744,0,0,0,0,0,61.2164928117883,0,74.605187467308,0,0,23.3741312249969,2.65686587795423,0,62.5563998108681,0,0,0,14.9720441954161,1.58007442080978,25.7456118529136,0.737368063044567,61.9640086891124,0,0,53.1196439759564,0,0,0,0,68.7464062630899,0,0,41.8268868567172,0,147.869901359034,85.2239229215666,15.6793886340354,14.1907407372312,0.164833573389638,54.106034003065,23.1207916392174,0,0,0,0,44.9248217724394,0,0,2.84569452478681
"SBS17b",0,0,0,0,1.6189613801605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0713487079670017,0,0,0,0,0,0,0,0,0,0
"SBS18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.1637851865996,0,0,0,0,0,0,0,2.56312155714912,266.975746755045,118.481528227568,0,96.0522027404235,0,164.102067374624,121.852689677856,2.44503055349417,19.1579846216048,36.7045728059501,0,73.845847201864,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SBSblood",544.58128512251,255.735812253441,483.714791775766,2.27225551881549,1.12582798088207,229.274249643109,392.645253547556,333.339286862391,605.499183664534,297.379292296124,6.2271881532755,400.729619424291,0,0,565.545194135357,476.610868556361,0,383.554440382627,110.36635705534,0,164.83005158627,0,619.810378143556,0,253.451409871497,149.79813394452,0.634452781299786,335.25510706069,2.64014498892206,299.521900818166,189.87691554619,0,49.3601644707048,61.9077490533238,143.746507494472,275.362699111237,105.668622052562,231.229427547076,26.5403120454935,0,424.356549501212,229.862601906377,0.95923753498804,478.391377840765,5.07800523356189,0,428.003593560463,0.357864719305266,682.563494139562,0
