"","WT","BL-Trunk","BL-Intermediate-PL","BL-Private-PL","BL-Intermediate-BM","BL-Private-BM"
"SBS1",65.778694729595,122.832982318648,20.9328205355187,119.586052227227,36.4363278811396,511.868709753277
"SBS17b",0,0,0,0,0,0
"SBS18",36.7045728059501,73.845847201864,19.1579846216048,767.464234775517,0,47.1637851865996
"SBS7a",0,48.1783943965142,0,0,0,389.562951999342
"SBS9",41.8268868567172,147.869901359034,0,121.866050239046,99.4146636587978,531.126606180035
"SBSblood",205.654256547796,275.362699111237,49.3601644707048,1227.90346724106,132.208934098055,8338.02310894469
