"","WT","BL-Trunk","BL-Intermediate","BL-Private"
"SBS1",300.093502967798,137.687137359478,45.548253477649,245.547304962994
"SBS17b",0,0,6.81914784011861,178.362530403784
"SBS18",0,167.292706770353,48.7505358453869,284.531023361765
"SBS7a",71.0538899598234,0,1.04365340236859,144.963989878837
"SBS9",922.805231917356,329.456377454552,136.554879320088,336.78896139682
"SBSblood",1834.37449473537,476.533330297115,97.7778033190896,3285.91968015451
