"","WT","BL-Trunk","BL-Intermediate-LN","BL-Private-LN","BL-Intermediate-BM","BL-Private-BM"
"SBS1",141.156331430627,95.8310848518569,31.4822405393392,115.327930278069,19.9084847651392,36.1191313083872
"SBS17b",0,0,10.6351417424354,51.3838167656622,0,33.4006217958842
"SBS18",0,105.624259194308,76.9404513003856,19.9324773804224,61.1757362177071,125.430311558322
"SBS7a",0,0,0,706.105397277018,0,12.5467457553089
"SBS9",557.293290857721,227.328838051347,89.032288909851,48.4842881973532,104.309211491451,192.783438184652
"SBSblood",666.736562858239,169.151710372964,47.0204706775191,5026.41997257599,76.1096367860271,401.834124153221
